Beat Count,Instrument 1,Instrument 2,Section,
292,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
293,Bass Drum,Tom-tom,,147
e,,,,
&,Hi-Hat (Open),,,
a,,,,
294,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
295,Hi-Hat (Open),,,148
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
296,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
297,Bass Drum,Tom-tom,,149
e,,,,
&,Hi-Hat (Open),,,
a,,,,
298,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
299,Hi-Hat (Open),,,150
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
300,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
301,Bass Drum,Tom-tom,,151
e,,,,
&,Hi-Hat (Open),,,
a,,,,
302,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
303,Bass Drum,Tom-tom,,152
e,,,,
&,,,,
a,,,,
304,Bass Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
305,Bass Drum,Ghost Note,,153
e,,,,
&,Ghost Note,,,
a,,,,
306,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
307,Ghost Note,,,154
e,,,,
&,Ghost Note,,,
a,,,,
308,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
309,Bass Drum,Ghost Note,,155
e,,,,
&,Ghost Note,,,
a,,,,
310,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
311,Ghost Note,,,156
e,,,,
&,Ghost Note,,,
a,,,,
312,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
313,Bass Drum,Ghost Note,,157
e,,,,
&,Ghost Note,,,
a,,,,
314,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
315,Ghost Note,,,158
e,,,,
&,Ghost Note,,,
a,,,,
316,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
317,Ghost Note,,,159
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
318,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
319,Bass Drum,Ghost Note,,160
e,,,,
&,Ghost Note,,,
a,,,,
320,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
321,Bass Drum,Ghost Note,,161
e,,,,
&,Ghost Note,,,
a,,,,
322,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
323,Ghost Note,,,162
e,,,,
&,Ghost Note,,,
a,,,,
324,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
325,Bass Drum,Ghost Note,,163
e,,,,
&,Ghost Note,,,
a,,,,
326,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
327,Ghost Note,,,164
e,,,,
&,Ghost Note,,,
a,,,,
328,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
329,Bass Drum,Ghost Note,,165
e,,,,
&,Ghost Note,,,
a,,,,
330,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
331,Ghost Note,,,166
e,,,,
&,Ghost Note,,,
a,,,,
332,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
333,Ghost Note,,,167
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
334,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
335,Bass Drum,Ghost Note,,168
e,,,,
&,Ghost Note,,,
a,,,,
336,Snare Drum,Ghost Note,,
e,,,,
&,Snare Drum,Ghost Note,,
a,,,,
337,Bass Drum,Tom-tom,,169
e,,,,
&,Ghost Note,,,
a,,,,
338,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
339,Ghost Note,,,170
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
340,Snare Drum,Ghost Note,,
e,,,,
&,Ghost Note,,,
a,,,,
341,Bass Drum,Ghost Note,,171
e,,,,
&,Ghost Note,,,
a,,,,
342,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
343,Ghost Note,,,172
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
344,Snare Drum,Ghost Note,,
e,,,,
&,Bass Drum,Ghost Note,,
a,,,,
345,Snare Drum,Tom-tom,,173
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
346,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
347,Tom-tom,Snare Drum,,174
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
348,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
349,Tom-tom,Snare Drum,,175
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
350,Tom-tom,Snare Drum,,
e,,,,
&,Tom-tom,Snare Drum,,
a,,,,
351,Snare Drum,Snare Drum,,176
e,,,,
&,Bass Drum,,,
a,,,,
352,Snare Drum,Snare Drum,,
e,,,,
&,,,,
a,,,,
353,Bass Drum,Tom-tom,,177
e,,,,
&,Hi-Hat (Open),,,
a,,,,
354,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
355,Hi-Hat (Open),,,178
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
356,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
357,Bass Drum,Tom-tom,,179
e,,,,
&,Hi-Hat (Open),,,
a,,,,
358,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
359,Hi-Hat (Open),,,180
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
360,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
361,Bass Drum,Tom-tom,,181
e,,,,
&,Hi-Hat (Open),,,
a,,,,
362,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
363,Hi-Hat (Open),,,182
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
364,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
365,Bass Drum,Tom-tom,,183
e,,,,
&,Hi-Hat (Open),,,
a,,,,
366,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
367,Bass Drum,Tom-tom,,184
e,,,,
&,,,,
a,,,,
368,Bass Drum,Tom-tom,,
e,,,,
&,,,,
a,,,,
369,Bass Drum,Tom-tom,,185
e,,,,
&,Hi-Hat (Open),,,
a,,,,
370,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
371,Hi-Hat (Open),,,186
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
372,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
373,Bass Drum,Tom-tom,,187
e,,,,
&,Hi-Hat (Open),,,
a,,,,
374,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
375,Hi-Hat (Open),,,188
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
376,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
377,Bass Drum,Tom-tom,,189
e,,,,
&,Hi-Hat (Open),,,
a,,,,
378,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
379,Hi-Hat (Open),,,190
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
380,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
381,Bass Drum,Tom-tom,,191
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
382,,,,
e,Bass Drum,Tom-tom,,
&,,,,
a,,,,
383,Bass Drum,Tom-tom,,192
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
384,,,,
e,Bass Drum,Tom-tom,,
&,,,,
a,,,,
385,Bass Drum,Tom-tom,,193
e,,,,
&,Hi-Hat (Open),,,
a,,,,
386,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
387,Hi-Hat (Open),,,194
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
388,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
389,Bass Drum,Tom-tom,,195
e,,,,
&,Hi-Hat (Open),,,
a,,,,
390,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Bass Drum,Tom-tom,,
a,,,,
391,Hi-Hat (Open),,,196
e,,,,
&,Bass Drum,Hi-Hat (Open),,
a,,,,
392,Snare Drum,Hi-Hat (Open),,
e,,,,
&,Hi-Hat (Open),,,
a,,,,
393,Bass Drum,Tom-tom,,197
e,,,,
&,,,,
a,,,,
394,Hi-Hat (Open),,,
e,,,,
&,,,,
a,,,,
395,Hi-Hat (Open),,,198
e,,,,
&,,,,
a,,,,
396,Hi-Hat (Open),,,
e,,,,
&,,,,
a,,,,
397,Bass Drum,Tom-tom,,199
e,,,,
&,,,,
a,,,,
398,Hi-Hat (Open),,,
e,,,,
&,,,,
a,,,,
399,Bass Drum,Tom-tom,,200
e,,,,
&,,,,
a,,,,
400,Hi-Hat (Open),,,
e,,,,
&,,,,
a,,,,
401,Bass Drum,Tom-tom,,201
e,,,,
&,,,,
a,,,,
402,,,,
,,,,
,,,,
,,,,
,,,,202
